bvdid;postcode
DE2310065846;49638
DE7050127152;69121
DE2011690117;14532
DE8270022126;89079
DE4050000651;44789
DE6250018859;65189
DE8210092374;88239
DE7330110597;71263
DE8350000880;84326
DE6210036425;63329
DE8270102337;89160
DE3410008426;07745
DE2151205731;22453
DE8170659727;81675
DE5030004028;53347
DE8270240714;89165
DE2150065066;22527
DE7050017762;97959
DE8170688722;81379
DE8170721921;81477
DE4330067744;57462
DE7330734994;73730
DE5010027491;52372
DE5010000260;52355
DE2370030001;26215
DE5030022151;53175
DE7310030547;76751
DE8350086022;84163
DE8110000515;95028
DE6250006237;65203
DE8230470924;94372
DE2070154663;38518
DE4070133466;44145
DE6090070375;36100
DE5190311215;50677
DE2150193985;21079
DE6110007450;56457
DE7330000599;70771
DE8170127364;81371
DE5190723744;50858
DE4190051818;58239
DE5170058392;56235
DE8050086819;96129
DE4070064630;44534
DE2010391245;14482
DE2050002872;27232
DE4070061508;44534
DE4130000469;59302
DE5410038484;42105
DE8130140481;85092
DE5150000641;51674
DE4110001197;58135
DE2190029750;30539
DE7010203308;79104
DE4010013022;33775
DE8190267398;90471
DE7070013528;74211
DE5070183325;47055
DE3430010240;07318
DE7050287800;76646
DE7030059480;73312
DE2190001618;31547
DE8250007883;84453
DE5190003520;50769
DE5410142521;42103
DE6050074598;64297
DE8330367299;85609
DE5070127087;47198
DE4250268062;48249
DE5210002175;47443
DE5210106085;47800
DE8190096331;90763
DE5110169849;45355
DE6070298637;65760
DE4070008208;44357
DE8230287294;92533
DE8230249600;93128
DE2210032038;31135
DE7330218945;71636
DE7330615740;70176
DE6070164739;65760
DE8310278792;97070
DE7370000241;73434
DE4110056027;58135
DE7290161778;66121
DE2190099981;30159
DE4010062361;33615
DE3050010562;03046
DE2150034787;20459
DE5250136846;45478
DE3030078187;09130
DE6070447060;60528
DE2010350469;10365
DE6250164544;65232
DE8170757580;80336
DE4130026813;33330
DE4010001998;33775
DE3170118882;39112
DE2190051091;30167
DE2010155387;12057
DE2350008389;27624
DE8230000182;94032
DE4070243177;50667
DE2310017871;49090
DE2410000220;49811
DE7030000381;73099
DE5050009511;40476
DE5230230751;41069
DE8330024552;82216
DE8230003433;94315
DE7110192508;76275
DE8170490002;80339
DE6090072314;36037
DE6150003541;34123
DE6190081875;56588
DE6190213712;65428
DE8170441503;81673
DE5190489584;67063
DE8310253080;97638
DE4170170760;32051
DE5190014063;50667
DE7350002021;78056
DE8270249875;89584
DE5230084521;41751
DE7250045872;66953
DE8070103285;95447
DE8310000141;97877
DE7330714916;88271
DE5350001311;54293
DE4070282232;44379
DE2310021204;49084
DE6190029315;55130
DE5110348936;45141
DE4170047318;32052
DE4050005794;44787
DE8190694907;90429
DE5270133270;41564
DE8110107520;08233
DE8010027225;30855
DE8190036786;90461
DE6070345525;60549
DE5230345532;41366
DE2190177807;30163
DE2190564792;30177
